ano;setor;empresa;kpi;valor;media_privados;desvio_padrao;zscore;sinal;evento_exogeno;descricao_evento
2017;Energia;CIA PARANAENSE DE ENERGIA - COPEL;alavancagem;4.11;4.16;2.24;-0.02;Na média;0;
2017;Energia;CIA PARANAENSE DE ENERGIA - COPEL;cobertura_juros;1.48;2.26;2.12;-0.37;Na média;0;
2018;Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;roe;0.24;0.17;0.11;0.63;Acima da média;0;
2018;Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;margem_liquida;0.53;0.13;0.09;4.7;Acima da média;0;
2018;Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;margem_bruta;0.78;0.32;0.2;2.28;Acima da média;0;
2018;Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;margem_ebitda;0.74;0.28;0.2;2.25;Acima da média;0;
2018;Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;alavancagem;2.92;3.86;1.35;-0.7;Acima da média;0;
2018;Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;cobertura_juros;1.88;2.22;1.39;-0.25;Na média;0;
2018;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;roe;0.11;0.17;0.11;-0.57;Abaixo da média;0;
2018;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;margem_liquida;0.08;0.13;0.09;-0.57;Abaixo da média;0;
2018;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;margem_bruta;0.21;0.32;0.2;-0.59;Abaixo da média;0;
2018;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;margem_ebitda;0.11;0.28;0.2;-0.83;Abaixo da média;0;
2018;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;alavancagem;5.56;3.86;1.35;1.26;Alerta;0;
2018;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;cobertura_juros;1.12;2.22;1.39;-0.8;Abaixo da média;0;
2018;Energia;CIA PARANAENSE DE ENERGIA - COPEL;roe;0.09;0.17;0.11;-0.76;Abaixo da média;0;
2018;Energia;CIA PARANAENSE DE ENERGIA - COPEL;margem_liquida;0.09;0.13;0.09;-0.37;Na média;0;
2018;Energia;CIA PARANAENSE DE ENERGIA - COPEL;margem_bruta;0.23;0.32;0.2;-0.47;Na média;0;
2018;Energia;CIA PARANAENSE DE ENERGIA - COPEL;margem_ebitda;0.16;0.28;0.2;-0.6;Abaixo da média;0;
2018;Energia;CIA PARANAENSE DE ENERGIA - COPEL;alavancagem;4.02;3.86;1.35;0.12;Na média;0;
2018;Energia;CIA PARANAENSE DE ENERGIA - COPEL;cobertura_juros;1.91;2.22;1.39;-0.23;Na média;0;
2019;Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;roe;0.15;0.18;0.1;-0.32;Na média;0;
2019;Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;margem_liquida;0.39;0.12;0.08;3.32;Acima da média;0;
2019;Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;margem_bruta;0.76;0.31;0.14;3.11;Acima da média;0;
2019;Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;margem_ebitda;0.31;0.27;0.17;0.22;Na média;0;
2019;Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;alavancagem;5.33;4.01;1.59;0.82;Abaixo da média;0;
2019;Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;cobertura_juros;0.97;2.78;2.27;-0.8;Abaixo da média;0;
2019;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;roe;0.2;0.18;0.1;0.16;Na média;0;
2019;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;margem_liquida;0.12;0.12;0.08;-0.02;Na média;0;
2019;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;margem_bruta;0.23;0.31;0.14;-0.59;Abaixo da média;0;
2019;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;margem_ebitda;0.12;0.27;0.17;-0.86;Abaixo da média;0;
2019;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;alavancagem;4.58;4.01;1.59;0.35;Na média;0;
2019;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;cobertura_juros;1.68;2.78;2.27;-0.48;Na média;0;
2019;Energia;CIA PARANAENSE DE ENERGIA - COPEL;roe;0.11;0.18;0.1;-0.69;Abaixo da média;0;
2019;Energia;CIA PARANAENSE DE ENERGIA - COPEL;margem_liquida;0.12;0.12;0.08;-0.03;Na média;0;
2019;Energia;CIA PARANAENSE DE ENERGIA - COPEL;margem_bruta;0.28;0.31;0.14;-0.25;Na média;0;
2019;Energia;CIA PARANAENSE DE ENERGIA - COPEL;margem_ebitda;0.2;0.27;0.17;-0.43;Na média;0;
2019;Energia;CIA PARANAENSE DE ENERGIA - COPEL;alavancagem;2.7;4.01;1.59;-0.82;Acima da média;0;
2019;Energia;CIA PARANAENSE DE ENERGIA - COPEL;cobertura_juros;2.58;2.78;2.27;-0.09;Na média;0;
2020;Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;roe;0.09;0.22;0.09;-1.39;Alerta;0;
2020;Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;margem_liquida;0.22;0.14;0.06;1.4;Acima da média;0;
2020;Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;margem_bruta;0.73;0.33;0.15;2.68;Acima da média;0;
2020;Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;margem_ebitda;0.3;0.29;0.17;0.08;Na média;0;
2020;Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;alavancagem;5.07;3.72;1.81;0.75;Abaixo da média;0;
2020;Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;cobertura_juros;0.8;3.49;1.62;-1.67;Alerta;0;
2020;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;roe;0.16;0.22;0.09;-0.55;Abaixo da média;0;
2020;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;margem_liquida;0.11;0.14;0.06;-0.42;Na média;0;
2020;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;margem_bruta;0.21;0.33;0.15;-0.78;Abaixo da média;0;
2020;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;margem_ebitda;0.19;0.29;0.17;-0.57;Abaixo da média;0;
2020;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;alavancagem;2.83;3.72;1.81;-0.49;Na média;0;
2020;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;cobertura_juros;1.4;3.49;1.62;-1.29;Alerta;0;
2020;Energia;CIA PARANAENSE DE ENERGIA - COPEL;roe;0.19;0.22;0.09;-0.24;Na média;0;
2020;Energia;CIA PARANAENSE DE ENERGIA - COPEL;margem_liquida;0.21;0.14;0.06;1.25;Acima da média;0;
2020;Energia;CIA PARANAENSE DE ENERGIA - COPEL;margem_bruta;0.28;0.33;0.15;-0.31;Na média;0;
2020;Energia;CIA PARANAENSE DE ENERGIA - COPEL;margem_ebitda;0.23;0.29;0.17;-0.33;Na média;0;
2020;Energia;CIA PARANAENSE DE ENERGIA - COPEL;alavancagem;1.58;3.72;1.81;-1.19;Acima da média;0;
2020;Energia;CIA PARANAENSE DE ENERGIA - COPEL;cobertura_juros;4.37;3.49;1.62;0.54;Acima da média;0;
2021;Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;roe;0.07;0.22;0.07;-2.01;Alerta;0;
2021;Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;margem_liquida;0.15;0.13;0.04;0.37;Na média;0;
2021;Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;margem_bruta;0.68;0.37;0.2;1.57;Acima da média;0;
2021;Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;margem_ebitda;0.35;0.31;0.22;0.17;Na média;0;
2021;Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;alavancagem;3.23;3.65;0.98;-0.43;Na média;0;
2021;Energia;CENTRAIS ELET BRAS S.A. - ELETROBRAS;cobertura_juros;1.54;2.53;1.06;-0.94;Abaixo da média;0;
2021;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;roe;0.19;0.22;0.07;-0.32;Na média;0;
2021;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;margem_liquida;0.11;0.13;0.04;-0.49;Na média;0;
2021;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;margem_bruta;0.2;0.37;0.2;-0.82;Abaixo da média;0;
2021;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;margem_ebitda;0.21;0.31;0.22;-0.48;Na média;0;
2021;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;alavancagem;1.52;3.65;0.98;-2.18;Acima da média;0;
2021;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;cobertura_juros;2.24;2.53;1.06;-0.27;Na média;0;
2021;Energia;CIA PARANAENSE DE ENERGIA - COPEL;roe;0.22;0.22;0.07;0.12;Na média;0;
2021;Energia;CIA PARANAENSE DE ENERGIA - COPEL;margem_liquida;0.21;0.13;0.04;1.64;Acima da média;0;
2021;Energia;CIA PARANAENSE DE ENERGIA - COPEL;margem_bruta;0.2;0.37;0.2;-0.8;Abaixo da média;0;
2021;Energia;CIA PARANAENSE DE ENERGIA - COPEL;margem_ebitda;0.23;0.31;0.22;-0.38;Na média;0;
2021;Energia;CIA PARANAENSE DE ENERGIA - COPEL;alavancagem;1.53;3.65;0.98;-2.16;Acima da média;0;
2021;Energia;CIA PARANAENSE DE ENERGIA - COPEL;cobertura_juros;4.32;2.53;1.06;1.7;Acima da média;0;
2022;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;roe;0.19;0.16;0.11;0.22;Na média;0;
2022;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;margem_liquida;0.12;0.13;0.07;-0.22;Na média;0;
2022;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;margem_bruta;0.2;0.43;0.2;-1.16;Alerta;0;
2022;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;margem_ebitda;0.17;0.34;0.21;-0.82;Abaixo da média;0;
2022;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;alavancagem;1.61;4.33;1.8;-1.52;Acima da média;0;
2022;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;cobertura_juros;1.85;1.62;0.64;0.36;Na média;0;
2022;Energia;CIA PARANAENSE DE ENERGIA - COPEL;roe;0.05;0.16;0.11;-1.03;Alerta;1;Privatização Copel
2022;Energia;CIA PARANAENSE DE ENERGIA - COPEL;margem_liquida;0.05;0.13;0.07;-1.18;Alerta;1;Privatização Copel
2022;Energia;CIA PARANAENSE DE ENERGIA - COPEL;margem_bruta;0.23;0.43;0.2;-1.01;Alerta;1;Privatização Copel
2022;Energia;CIA PARANAENSE DE ENERGIA - COPEL;margem_ebitda;0.13;0.34;0.21;-0.98;Abaixo da média;1;Privatização Copel
2022;Energia;CIA PARANAENSE DE ENERGIA - COPEL;alavancagem;3.35;4.33;1.8;-0.55;Acima da média;1;Privatização Copel
2022;Energia;CIA PARANAENSE DE ENERGIA - COPEL;cobertura_juros;0.97;1.62;0.64;-1.02;Alerta;1;Privatização Copel
2023;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;roe;0.23;0.15;0.11;0.79;Acima da média;0;
2023;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;margem_liquida;0.16;0.14;0.09;0.2;Na média;0;
2023;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;margem_bruta;0.23;0.4;0.18;-0.94;Abaixo da média;0;
2023;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;margem_ebitda;0.2;0.34;0.2;-0.71;Abaixo da média;0;
2023;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;alavancagem;1.15;3.7;1.32;-1.94;Acima da média;0;
2023;Energia;CIA ENERGETICA DE MINAS GERAIS - CEMIG;cobertura_juros;4.38;1.74;0.64;4.12;Acima da média;0;
