ano;setor;empresa;kpi;valor;media_privados;desvio_padrao;zscore;sinal;evento_exogeno;descricao_evento
2018;Financeiro;BCO BRASIL S.A.;nim;0.03;0.06;0.05;-0.62;Abaixo da média;0;
2018;Financeiro;BCO BRASIL S.A.;indice_eficiencia;0.42;0.55;0.28;-0.45;Na média;0;
2018;Financeiro;BCO BRASIL S.A.;alavancagem;12.36;7.36;1.69;2.96;Alerta;0;
2018;Financeiro;BCO BRASIL S.A.;pdd_ratio;0.1;0.08;0.08;0.27;Na média;0;
2018;Financeiro;BRB BANCO DE BRASILIA S.A.;roe;0.19;0.12;0.04;1.79;Acima da média;0;
2018;Financeiro;BRB BANCO DE BRASILIA S.A.;margem_liquida;0.1;0.17;0.08;-0.79;Abaixo da média;0;
2018;Financeiro;BRB BANCO DE BRASILIA S.A.;nim;0.14;0.06;0.05;1.92;Acima da média;0;
2018;Financeiro;BRB BANCO DE BRASILIA S.A.;indice_eficiencia;0.57;0.55;0.28;0.08;Na média;0;
2018;Financeiro;BRB BANCO DE BRASILIA S.A.;alavancagem;8.57;7.36;1.69;0.72;Abaixo da média;0;
2018;Financeiro;BRB BANCO DE BRASILIA S.A.;pdd_ratio;0.05;0.08;0.08;-0.42;Na média;0;
2018;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;roe;0.1;0.12;0.04;-0.4;Na média;0;
2018;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;margem_liquida;0.07;0.17;0.08;-1.17;Alerta;0;
2018;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;nim;0.03;0.06;0.05;-0.56;Abaixo da média;0;
2018;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;indice_eficiencia;0.5;0.55;0.28;-0.19;Na média;0;
2018;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;alavancagem;17.99;7.36;1.69;6.3;Alerta;0;
2018;Financeiro;BANESTES S.A. - BCO EST ESPIRITO SANTO;pdd_ratio;0.0;0.08;0.08;-0.96;Acima da média;0;
2019;Financeiro;BCO BRASIL S.A.;roe;0.15;0.16;0.03;-0.21;Na média;0;
2019;Financeiro;BCO BRASIL S.A.;margem_liquida;0.13;0.2;0.09;-0.7;Abaixo da média;0;
2019;Financeiro;BCO BRASIL S.A.;nim;0.02;0.06;0.04;-0.88;Abaixo da média;0;
2019;Financeiro;BCO BRASIL S.A.;indice_eficiencia;0.42;0.42;0.07;-0.06;Na média;0;
