cnpj;data_referencia;empresa;codigo_cvm;data_inicio_exercicio;data_fim_exercicio;codigo_conta;descricao_conta;valor;conta_fixa
02.429.144/0001-93;2021-12-31;CPFL ENERGIA S.A.;018660;2021-01-01;2021-12-31;7.04.01;Depreciação, Amortização e Exaustão;-1461309.0;S
01.083.200/0001-18;2021-12-31;NEOENERGIA S.A.;015539;2021-01-01;2021-12-31;7.04.01;Depreciação, Amortização e Exaustão;-2015000.0;S
76.483.817/0001-20;2021-12-31;CIA PARANAENSE DE ENERGIA - COPEL;014311;2021-01-01;2021-12-31;7.04.01;Depreciação, Amortização e Exaustão;-1082539.0;S
00.001.180/0001-26;2021-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;2021-01-01;2021-12-31;7.04.01;Depreciação, Amortização e Exaustão;-2081459.0;S
02.474.103/0001-19;2022-12-31;ENGIE BRASIL ENERGIA S.A.;017329;2022-01-01;2022-12-31;7.04.01;Depreciação, Amortização e Exaustão;-989800.0;S
00.864.214/0001-06;2022-12-31;ENERGISA S.A.;015253;2022-01-01;2022-12-31;7.04.01;Depreciação, Amortização e Exaustão;-1274464.0;S
01.083.200/0001-18;2022-12-31;NEOENERGIA S.A.;015539;2022-01-01;2022-12-31;7.04.01;Depreciação, Amortização e Exaustão;-2280000.0;S
08.364.948/0001-38;2022-12-31;ALUPAR INVESTIMENTO S/A;021490;2022-01-01;2022-12-31;7.04.01;Depreciação, Amortização e Exaustão;-150438.0;S
10.629.105/0001-68;2022-12-31;PRIO S.A.;022187;2022-01-01;2022-12-31;7.04.01;Depreciação, Amortização e Exaustão;-854256.0;S
11.669.021/0001-10;2022-12-31;ENAUTA PARTICIPAÇÕES S.A.;022365;2022-01-01;2022-12-31;7.04.01;Depreciação, Amortização e Exaustão;-335498.0;S
12.091.809/0001-55;2022-12-31;BRAVA ENERGIA S.A.;025291;2022-01-01;2022-12-31;7.04.01;Depreciação, Amortização e Exaustão;-279302.0;S
17.155.730/0001-64;2022-12-31;CIA ENERGETICA DE MINAS GERAIS - CEMIG;002453;2022-01-01;2022-12-31;7.04.01;Depreciação, Amortização e Exaustão;-1182084.0;S
00.001.180/0001-26;2022-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;2022-01-01;2022-12-31;7.04.01;Depreciação, Amortização e Exaustão;-2977917.0;S
33.000.167/0001-01;2022-12-31;PETROLEO BRASILEIRO S.A. PETROBRAS;009512;2022-01-01;2022-12-31;7.04.01;Depreciação, Amortização e Exaustão;-75121000.0;S
02.429.144/0001-93;2022-12-31;CPFL ENERGIA S.A.;018660;2022-01-01;2022-12-31;7.04.01;Depreciação, Amortização e Exaustão;-1720235.0;S
76.483.817/0001-20;2022-12-31;CIA PARANAENSE DE ENERGIA - COPEL;014311;2022-01-01;2022-12-31;7.04.01;Depreciação, Amortização e Exaustão;-1300982.0;S
03.220.438/0001-73;2022-12-31;EQUATORIAL ENERGIA S.A.;020010;2022-01-01;2022-12-31;7.04.01;Depreciação, Amortização e Exaustão;-1209716.0;S
03.342.704/0001-30;2022-12-31;PETRORECÔNCAVO S.A.;025780;2022-01-01;2022-12-31;7.04.01;Depreciação, Amortização e Exaustão;-351220.0;S
00.864.214/0001-06;2023-12-31;ENERGISA S.A.;015253;2023-01-01;2023-12-31;7.04.01;Depreciação, Amortização e Exaustão;-1577181.0;S
00.001.180/0001-26;2023-12-31;CENTRAIS ELET BRAS S.A. - ELETROBRAS;002437;2023-01-01;2023-12-31;7.04.01;Depreciação, Amortização e Exaustão;-3621342.0;S
33.000.167/0001-01;2023-12-31;PETROLEO BRASILEIRO S.A. PETROBRAS;009512;2023-01-01;2023-12-31;7.04.01;Depreciação, Amortização e Exaustão;-76020000.0;S
03.220.438/0001-73;2023-12-31;EQUATORIAL ENERGIA S.A.;020010;2023-01-01;2023-12-31;7.04.01;Depreciação, Amortização e Exaustão;-1873371.0;S
03.342.704/0001-30;2023-12-31;PETRORECÔNCAVO S.A.;025780;2023-01-01;2023-12-31;7.04.01;Depreciação, Amortização e Exaustão;-598327.0;S
08.364.948/0001-38;2023-12-31;ALUPAR INVESTIMENTO S/A;021490;2023-01-01;2023-12-31;7.04.01;Depreciação, Amortização e Exaustão;-154713.0;S
10.629.105/0001-68;2023-12-31;PRIO S.A.;022187;2023-01-01;2023-12-31;7.04.01;Depreciação, Amortização e Exaustão;-2054585.0;S
11.669.021/0001-10;2023-12-31;ENAUTA PARTICIPAÇÕES S.A.;022365;2023-01-01;2023-12-31;7.04.01;Depreciação, Amortização e Exaustão;-665948.0;S
12.091.809/0001-55;2023-12-31;BRAVA ENERGIA S.A.;025291;2023-01-01;2023-12-31;7.04.01;Depreciação, Amortização e Exaustão;-620100.0;S
17.155.730/0001-64;2023-12-31;CIA ENERGETICA DE MINAS GERAIS - CEMIG;002453;2023-01-01;2023-12-31;7.04.01;Depreciação, Amortização e Exaustão;-1274074.0;S
01.083.200/0001-18;2023-12-31;NEOENERGIA S.A.;015539;2023-01-01;2023-12-31;7.04.01;Depreciação, Amortização e Exaustão;-2611000.0;S
02.429.144/0001-93;2023-12-31;CPFL ENERGIA S.A.;018660;2023-01-01;2023-12-31;7.04.01;Depreciação, Amortização e Exaustão;-1898055.0;S
02.474.103/0001-19;2023-12-31;ENGIE BRASIL ENERGIA S.A.;017329;2023-01-01;2023-12-31;7.04.01;Depreciação, Amortização e Exaustão;-924259.0;S
76.483.817/0001-20;2023-12-31;CIA PARANAENSE DE ENERGIA - COPEL;014311;2023-01-01;2023-12-31;7.04.01;Depreciação, Amortização e Exaustão;-1382040.0;S
